year,term,value,source,corpus,smoothing,case_sensitive,primary_layer,layer_name,function_mode
1800,artificial aid,1.819278239167943e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1801,artificial aid,4.0787593746927087e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1802,artificial aid,3.9981031818570045e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1803,artificial aid,1.548110262206137e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1804,artificial aid,1.7523133166719163e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1805,artificial aid,4.12467571209163e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1806,artificial aid,3.3789085307489586e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1807,artificial aid,3.369621381921206e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1808,artificial aid,2.3022865391908454e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1809,artificial aid,9.572942438751397e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1810,artificial aid,2.8756828029941062e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1811,artificial aid,1.2448639452600219e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1812,artificial aid,1.983502961877548e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1813,artificial aid,2.1496157742717514e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1814,artificial aid,2.8087468351145617e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1815,artificial aid,2.8962301001911328e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1816,artificial aid,2.4569146717112744e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1817,artificial aid,6.467794122499981e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1818,artificial aid,4.8697138765874115e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1819,artificial aid,5.0106020665907636e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1820,artificial aid,4.675431952705367e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1821,artificial aid,6.903334082153378e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1822,artificial aid,5.059761676307062e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1823,artificial aid,5.320947238374174e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1824,artificial aid,5.00944636883105e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1825,artificial aid,5.6885545829388207e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1826,artificial aid,6.801753471563643e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1827,artificial aid,2.8477863622811128e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1828,artificial aid,5.099239785977261e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1829,artificial aid,7.480907981971541e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1830,artificial aid,5.800317381954301e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1831,artificial aid,5.511941125746489e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1832,artificial aid,4.6067263226312605e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1833,artificial aid,4.1560639374438324e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1834,artificial aid,6.302300981086972e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1835,artificial aid,6.659053042312735e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1836,artificial aid,6.512331512942282e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1837,artificial aid,8.320855471311006e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1838,artificial aid,7.452769767990475e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1839,artificial aid,7.668459323095789e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1840,artificial aid,6.557102949500404e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1841,artificial aid,6.639129424002022e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1842,artificial aid,3.820576072177673e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1843,artificial aid,7.563099302387855e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1844,artificial aid,6.684068409867905e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1845,artificial aid,5.638791122919429e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1846,artificial aid,6.187861101292214e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1847,artificial aid,6.910742911259149e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1848,artificial aid,1.0327593258363521e-7,Google Books Ngram,en,0,false,1,external_artificial_things,support
1849,artificial aid,6.436862021175216e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1850,artificial aid,7.272553403936399e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1851,artificial aid,7.652040068251154e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1852,artificial aid,8.385956812295703e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1853,artificial aid,7.196079820914747e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1854,artificial aid,9.485371066375592e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1855,artificial aid,9.305511383672638e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1856,artificial aid,6.680620776022828e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1857,artificial aid,7.629733173031283e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1858,artificial aid,7.928925527256325e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1859,artificial aid,7.851413386106287e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1860,artificial aid,5.1093199004981216e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1861,artificial aid,8.20372177690043e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1862,artificial aid,5.885502929459108e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1863,artificial aid,5.229579697063613e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1864,artificial aid,5.401441052765854e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1865,artificial aid,6.210263001071858e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1866,artificial aid,8.274309237776833e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1867,artificial aid,5.814818992977422e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1868,artificial aid,5.7381186302496445e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1869,artificial aid,8.302080090061281e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1870,artificial aid,5.9507500704825134e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1871,artificial aid,6.443326344696132e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1872,artificial aid,5.9362159576803464e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1873,artificial aid,5.3685067391562313e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1874,artificial aid,5.671249336813844e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1875,artificial aid,6.853323830657843e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1876,artificial aid,6.419487796893719e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1877,artificial aid,6.393472773424946e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1878,artificial aid,5.953549420123494e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1879,artificial aid,7.06580891574049e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1880,artificial aid,7.381781713666768e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1881,artificial aid,6.045685813083068e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1882,artificial aid,8.0460712426067e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1883,artificial aid,8.711826637863851e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1884,artificial aid,8.443960686221885e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1885,artificial aid,5.744868813994941e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1886,artificial aid,8.155530441256165e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1887,artificial aid,7.70561610075049e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1888,artificial aid,7.76140239855394e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1889,artificial aid,7.544857585917164e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1890,artificial aid,6.323299062138688e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1891,artificial aid,5.947301695563567e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1892,artificial aid,7.427183271180304e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1893,artificial aid,7.318188706417761e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1894,artificial aid,4.6855536339762693e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1895,artificial aid,5.33913317446455e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1896,artificial aid,5.3728557575238867e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1897,artificial aid,5.599407110201682e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1898,artificial aid,5.6332781578349866e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1899,artificial aid,5.8064671293323045e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1900,artificial aid,4.731115044176448e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1901,artificial aid,4.847345373704126e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1902,artificial aid,4.891759375347249e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1903,artificial aid,5.1217850113860486e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1904,artificial aid,4.193748814884657e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1905,artificial aid,4.6501409903254576e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1906,artificial aid,5.416563197968571e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1907,artificial aid,3.853427896216566e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1908,artificial aid,5.0362590070518465e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1909,artificial aid,3.915267610121731e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1910,artificial aid,4.7213897527709214e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1911,artificial aid,4.178945470223461e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1912,artificial aid,3.6925182800295886e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1913,artificial aid,4.17198522673079e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1914,artificial aid,3.552648727978003e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1915,artificial aid,2.9692659775371055e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1916,artificial aid,2.8906685954621647e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1917,artificial aid,3.100520079568625e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1918,artificial aid,2.6777920325571358e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1919,artificial aid,2.0861156468932052e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1920,artificial aid,2.6543898301589763e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1921,artificial aid,3.13403035745452e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1922,artificial aid,3.454209324127433e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1923,artificial aid,3.3377314412330605e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1924,artificial aid,3.908107915062686e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1925,artificial aid,3.858281316659884e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1926,artificial aid,4.035720575779056e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1927,artificial aid,3.9078042135543e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1928,artificial aid,3.0289396366067756e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1929,artificial aid,3.279021398849835e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1930,artificial aid,3.710069704232488e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1931,artificial aid,3.567856622643806e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1932,artificial aid,3.5103647211265354e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1933,artificial aid,3.925692149131521e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1934,artificial aid,2.765904841273148e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1935,artificial aid,2.758735051511252e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1936,artificial aid,2.4474151372189112e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1937,artificial aid,3.127422981696881e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1938,artificial aid,2.212274452517704e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1939,artificial aid,2.215163914798257e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1940,artificial aid,1.869887988892316e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1941,artificial aid,2.037565752233128e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1942,artificial aid,2.111841072849341e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1943,artificial aid,1.7453936962397165e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1944,artificial aid,1.9931504696701907e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1945,artificial aid,1.7872769722537818e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1946,artificial aid,1.8097027758290363e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1947,artificial aid,2.2272919272814384e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1948,artificial aid,1.647817841204935e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1949,artificial aid,1.3225638736957812e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1950,artificial aid,1.7201195877392106e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1951,artificial aid,1.6400580074571458e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1952,artificial aid,1.1980535709332774e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1953,artificial aid,1.4223172875582613e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1954,artificial aid,1.5311319129240886e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1955,artificial aid,1.7475857025384123e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1956,artificial aid,1.5004481587754803e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1957,artificial aid,1.0406565428833225e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1958,artificial aid,1.4710873963430515e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1959,artificial aid,1.1936889476871215e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1960,artificial aid,1.038176671019908e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1961,artificial aid,1.0228648601728896e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1962,artificial aid,1.0759720669994977e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1963,artificial aid,1.1338406685768021e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1964,artificial aid,7.310846837638163e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1965,artificial aid,1.0942689199211486e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1966,artificial aid,8.46206926752302e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1967,artificial aid,8.518903527043875e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1968,artificial aid,1.0011352413741292e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1969,artificial aid,1.1891262197138985e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1970,artificial aid,8.494846701068148e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1971,artificial aid,1.0006007862550792e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1972,artificial aid,7.881651775676346e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1973,artificial aid,8.416549235334969e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1974,artificial aid,9.120902255688179e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1975,artificial aid,8.525241478041234e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1976,artificial aid,1.0476756365229711e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1977,artificial aid,9.529309195899227e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1978,artificial aid,8.959542469044735e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1979,artificial aid,9.453263324910033e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1980,artificial aid,8.498284759933528e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1981,artificial aid,8.634548374908402e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1982,artificial aid,8.831085189509036e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1983,artificial aid,8.678794030658743e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1984,artificial aid,6.945240493827498e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1985,artificial aid,6.581907935343523e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1986,artificial aid,5.8916436174172304e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1987,artificial aid,4.993371844480565e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1988,artificial aid,6.180436808167489e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1989,artificial aid,5.3672721753161845e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1990,artificial aid,4.5011722821231e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1991,artificial aid,6.5768652746101e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1992,artificial aid,4.849249016225521e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1993,artificial aid,6.109665953712984e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1994,artificial aid,4.331710382748932e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1995,artificial aid,4.327053576558271e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1996,artificial aid,5.713617273750415e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1997,artificial aid,5.145991736899003e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1998,artificial aid,4.952515939016244e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1999,artificial aid,5.278236285544136e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2000,artificial aid,5.868242378137545e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2001,artificial aid,4.9186393673295026e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2002,artificial aid,5.095738483951173e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2003,artificial aid,4.787254093141513e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2004,artificial aid,4.314754331602444e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2005,artificial aid,5.9006458608124035e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2006,artificial aid,5.420622173346601e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2007,artificial aid,5.7615539006405925e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2008,artificial aid,6.719214195455292e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2009,artificial aid,5.924406742963129e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2010,artificial aid,1.0060747089590816e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
2011,artificial aid,9.766360314217293e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2012,artificial aid,5.984819119453366e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2013,artificial aid,7.63000989820184e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2014,artificial aid,5.860596452578193e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2015,artificial aid,6.183442924356797e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2016,artificial aid,5.845201322962623e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2017,artificial aid,5.5599829254515676e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2018,artificial aid,5.3076680828212375e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
2019,artificial aid,5.314955614510453e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1800,artificial apparatus,0,Google Books Ngram,en,0,false,1,external_artificial_things,support
1801,artificial apparatus,0,Google Books Ngram,en,0,false,1,external_artificial_things,support
1802,artificial apparatus,7.996206363714009e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1803,artificial apparatus,1.1610826966546028e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1804,artificial apparatus,1.9470147716305064e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1805,artificial apparatus,7.733767404261016e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1806,artificial apparatus,2.111817831718099e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1807,artificial apparatus,3.744023757690229e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1808,artificial apparatus,0,Google Books Ngram,en,0,false,1,external_artificial_things,support
1809,artificial apparatus,0,Google Books Ngram,en,0,false,1,external_artificial_things,support
1810,artificial apparatus,1.0002374928319568e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1811,artificial apparatus,1.7783770012158584e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1812,artificial apparatus,0,Google Books Ngram,en,0,false,1,external_artificial_things,support
1813,artificial apparatus,3.307101259508727e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1814,artificial apparatus,9.362489450381872e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1815,artificial apparatus,7.240575250477832e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1816,artificial apparatus,1.637943114474183e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1817,artificial apparatus,1.6584087436655182e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1818,artificial apparatus,3.043571172867132e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1819,artificial apparatus,1.2220980671884263e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1820,artificial apparatus,3.0164077902128383e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1821,artificial apparatus,3.2873019861767716e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1822,artificial apparatus,4.216468063589218e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1823,artificial apparatus,7.255837264352749e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1824,artificial apparatus,1.0018892382390732e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1825,artificial apparatus,1.2033480878415048e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1826,artificial apparatus,8.353031155650115e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1827,artificial apparatus,6.8346874826374915e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1828,artificial apparatus,8.498733272688241e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1829,artificial apparatus,6.600801238931808e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1830,artificial apparatus,1.0875595535253524e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1831,artificial apparatus,1.2795577930546642e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1832,artificial apparatus,1.2284603334578037e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1833,artificial apparatus,8.964059716731754e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1834,artificial apparatus,8.079873436983576e-10,Google Books Ngram,en,0,false,1,external_artificial_things,support
1835,artificial apparatus,9.512932663824358e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1836,artificial apparatus,6.585503697920103e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1837,artificial apparatus,6.163596744102051e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1838,artificial apparatus,1.4449248020298455e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1839,artificial apparatus,1.2183533293352866e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1840,artificial apparatus,8.646729554584454e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1841,artificial apparatus,1.9917387739099013e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1842,artificial apparatus,7.123108325401972e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1843,artificial apparatus,5.171350014876452e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1844,artificial apparatus,1.71386371761173e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1845,artificial apparatus,6.041561917413674e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1846,artificial apparatus,1.6737656594045802e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1847,artificial apparatus,1.765518220508966e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1848,artificial apparatus,1.1475103534053233e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1849,artificial apparatus,1.2662678905428493e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1850,artificial apparatus,1.521056880449123e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1851,artificial apparatus,1.0352760426712848e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1852,artificial apparatus,5.082398057965065e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1853,artificial apparatus,3.9757347969349155e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1854,artificial apparatus,2.8015865183306232e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1855,artificial apparatus,3.2794754689646766e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1856,artificial apparatus,4.948607745802747e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1857,artificial apparatus,4.662614738748516e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1858,artificial apparatus,2.5440403117471533e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1859,artificial apparatus,3.2376963332581e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1860,artificial apparatus,3.457434560871775e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1861,artificial apparatus,8.113571148271603e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1862,artificial apparatus,4.306465850589802e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1863,artificial apparatus,1.884533196161442e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1864,artificial apparatus,3.7978882538869385e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1865,artificial apparatus,1.0208651701759663e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1866,artificial apparatus,3.7440313072067966e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1867,artificial apparatus,3.5893943373110915e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1868,artificial apparatus,3.170231188676098e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1869,artificial apparatus,2.1196799870892846e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1870,artificial apparatus,5.521314516698794e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1871,artificial apparatus,9.752061380652322e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
