year,term,value,source,corpus,smoothing,case_sensitive,query_group
1800,artificial light,1.4099406087098032e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1801,artificial light,6.118138884403379e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1802,artificial light,1.3327010606190015e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1803,artificial light,6.192441048824548e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1804,artificial light,1.1097983954044821e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1805,artificial light,1.2116234948678084e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1806,artificial light,1.224854315751145e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1807,artificial light,9.921662780243423e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1808,artificial light,1.9464786760181596e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1809,artificial light,1.282774233501982e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1810,artificial light,1.0752552981330155e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1811,artificial light,7.824858982985461e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1812,artificial light,5.383793677538051e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1813,artificial light,8.433108433791858e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1814,artificial light,7.864491635700688e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1815,artificial light,6.878546265909335e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1816,artificial light,1.2011582839477342e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1817,artificial light,1.0613816225912842e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1818,artificial light,9.282892166062595e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1819,artificial light,2.1142296624532264e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1820,artificial light,8.747582913581908e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1821,artificial light,9.533176115184006e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1822,artificial light,8.432936682289949e-8,Google Books Ngram Viewer,en,0,false,priority_phrase
1823,artificial light,1.2334923948920107e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1824,artificial light,1.3358523709428027e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1825,artificial light,1.8159617132251782e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1826,artificial light,1.467746806316228e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1827,artificial light,1.2871994670149434e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1828,artificial light,1.189822624869663e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1829,artificial light,1.969239096233366e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1830,artificial light,2.28387501466365e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1831,artificial light,1.2598723375667475e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1832,artificial light,1.7321291145844242e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1833,artificial light,2.534384101471332e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1834,artificial light,2.0361281705127965e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1835,artificial light,2.2904213847763089e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
1836,artificial light,1.7561343135241714e-7,Google Books Ngram Viewer,en,0,false,priority_phrase
