year,term,value,source,corpus,smoothing,case_sensitive,query_group
1864,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1865,artificial ingredients,1.276081462719958e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1866,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1867,artificial ingredients,1.4357577349244366e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1868,artificial ingredients,6.340462599396801e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1869,artificial ingredients,2.1196799870892846e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1870,artificial ingredients,3.0673968920424954e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1871,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1872,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1873,artificial ingredients,3.21467463759717e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1874,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1875,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1876,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1877,artificial ingredients,2.959941181046588e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1878,artificial ingredients,8.192957978714333e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1879,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1880,artificial ingredients,2.502298923623414e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1881,artificial ingredients,5.189429996832473e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1882,artificial ingredients,2.387558151184521e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1883,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1884,artificial ingredients,2.1762784629952847e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1885,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1886,artificial ingredients,4.5182993457792975e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1887,artificial ingredients,6.421346787632842e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1888,artificial ingredients,1.985013403649205e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1889,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1890,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1891,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
