term_or_phrase,primary_layer,layer_name,function_mode,sense_track,status,first_nonzero_year,last_nonzero_year,peak_year,peak_value,recent_year,recent_value,nonzero_year_count,notes
artificial aid,1,external_artificial_things,support,unclear,collected,1800,2019,1848,1.0327593258363521e-7,2019,5.314955614510453e-9,220,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial apparatus,1,external_artificial_things,support,unclear,collected,1802,2019,1847,1.765518220508966e-8,2019,6.703547716924163e-10,215,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial device,1,external_artificial_things,support,unclear,collected,1801,2019,1968,1.784376379987407e-8,2019,1.1731208580945118e-8,189,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial support,1,external_artificial_things,support,unclear,collected,1801,2019,1853,6.99729338915489e-8,2019,8.61884683067693e-9,216,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
mechanical aid,1,external_artificial_things,support,unclear,collected,1800,2019,1855,1.0207366818448804e-7,2019,6.176840268434791e-9,219,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
life-saving apparatus,1,external_artificial_things,support,unclear,missing,,,,0,2019,0,0,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial respiration,2,body_support,support,medical_support,collected,1800,2019,1890,9.017490214535684e-7,2019,9.049789162496324e-8,215,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial feeding,2,body_support,support,medical_support,collected,1801,2019,1924,3.7292623959739313e-7,2019,3.447538755169122e-8,205,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial nutrition,2,body_support,support,medical_support,collected,1831,2019,2007,7.679070868071847e-8,2019,6.047557710164853e-8,159,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial hydration,2,body_support,support,medical_support,collected,1878,2019,2010,1.8577518023921158e-8,2019,1.1060853455369113e-8,67,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial life support,2,body_support,support,medical_support,collected,1900,2019,1998,1.3033612293600338e-8,2019,6.144472968622194e-9,74,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
life support,2,body_support,support,medical_support,collected,1800,2019,2009,0.0000023774442535658136,2019,0.000001009937322826726,210,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
mechanical ventilation,2,body_support,support,medical_support,collected,1804,2019,2012,0.0000013137215141845182,2019,0.0000011024941590775938,191,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
nutritional support,2,body_support,support,medical_support,collected,1869,2019,1988,3.667889716396644e-7,2019,2.9112550303800333e-7,115,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
tube feeding,2,body_support,support,medical_support,collected,1816,2019,1988,2.320654246545928e-7,2019,1.6399750680379244e-7,147,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial limb,3,body_replacement,replacement,prosthetic_replacement,collected,1800,2019,1918,5.622288016815524e-7,2019,2.8394312179269576e-8,216,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial limbs,3,body_replacement,replacement,prosthetic_replacement,collected,1801,2019,1918,9.477663147072768e-7,2019,5.99009868373912e-8,204,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
prosthesis,3,body_replacement,replacement,prosthetic_replacement,collected,1800,2019,2012,0.0000025776244871877907,2019,0.0000018953485048101015,215,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
prosthetic limb,3,body_replacement,replacement,prosthetic_replacement,collected,1900,2019,2018,3.492635108903741e-8,2019,3.054902481675059e-8,83,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial heart,3,body_replacement,replacement,organ_replacement,collected,1800,2019,1986,3.7310356270497946e-7,2019,1.3019246969392384e-7,165,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial hearts,3,body_replacement,replacement,organ_replacement,collected,1800,2019,1977,8.45658152393014e-8,2019,2.006275991173201e-8,107,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial kidney,3,body_replacement,replacement,organ_replacement,collected,1845,2019,1968,3.8543707137073113e-7,2019,3.9167870891088086e-8,120,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial organ,3,body_replacement,replacement,organ_replacement,collected,1801,2019,1984,1.7236363503148056e-8,2019,1.0917205750526904e-8,195,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial organs,3,body_replacement,replacement,organ_replacement,collected,1803,2019,1967,1.713447484730235e-7,2019,6.243875796951848e-8,181,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
heart-assist device,3,body_replacement,replacement,organ_replacement,missing,,,,0,2019,0,0,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
bionic limb,3,body_replacement,replacement,prosthetic_replacement,collected,1900,2019,2018,2.369494600529265e-9,2019,1.2928270676226816e-9,38,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
synthetic organ,3,body_replacement,replacement,organ_replacement,collected,1899,2019,1952,3.3230683829654772e-9,2019,4.78824820071555e-10,104,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial insemination,4,reproduction_continuation,continuation,biological_life,collected,1823,2019,1953,0.000001090718884655395,2019,3.2344616509444313e-7,160,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial fertilization,4,reproduction_continuation,continuation,biological_life,collected,1806,2019,1888,5.379386491810578e-8,2019,1.2832505641435787e-8,189,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial fertilisation,4,reproduction_continuation,continuation,biological_life,collected,1833,2019,1884,3.460282786693636e-8,2019,1.8674168461574325e-9,172,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
in vitro fertilization,4,reproduction_continuation,continuation,biological_life,collected,1848,2019,1988,8.0120812245843e-7,2019,4.601186165513471e-7,100,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
in vitro fertilisation,4,reproduction_continuation,continuation,biological_life,collected,1843,2019,1985,9.155232405522185e-8,2019,5.227922387010531e-8,77,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
test-tube baby,4,reproduction_continuation,continuation,biological_life,missing,,,,0,2019,0,0,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial womb,4,reproduction_continuation,continuation,biological_life,collected,1832,2019,2007,1.6204370290040515e-8,2019,1.1108736375220474e-8,96,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
ectogenesis,4,reproduction_continuation,continuation,biological_life,collected,1901,2019,2006,3.1084915641521604e-8,2019,1.4119224303610345e-8,110,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial life,5,human_process_cognition_presence,simulation,computational_life,collected,1800,2019,1998,2.887080971930578e-7,2019,1.7161081533600964e-7,220,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial language,5,human_process_cognition_presence,simulation,human_process,collected,1800,2019,1827,7.859890516215273e-8,2019,5.602250346958826e-8,220,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial voice,5,human_process_cognition_presence,simulation,voice_presence,collected,1801,2019,1944,1.7027577181583098e-8,2019,8.906141775455456e-9,203,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
synthetic voice,5,human_process_cognition_presence,simulation,voice_presence,collected,1884,2019,1983,1.6889868004188457e-8,2019,9.81590855819725e-9,104,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
voice cloning,5,human_process_cognition_presence,simulation,voice_presence,collected,1900,2019,2002,2.9311770788353897e-9,2019,5.267073027725999e-10,19,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
AI voice,5,human_process_cognition_presence,simulation,voice_presence,collected,1900,2019,2011,1.0791828319867136e-8,2019,3.4475388099863835e-9,28,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial intelligence,5,human_process_cognition_presence,simulation,cognitive_process,collected,1802,2019,2019,0.0000060785856142303585,2019,0.0000060785856142303585,137,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
machine intelligence,5,human_process_cognition_presence,simulation,cognitive_process,collected,1845,2019,2012,4.869922594907816e-7,2019,2.823151174502492e-7,101,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial neural network,5,human_process_cognition_presence,simulation,cognitive_process,collected,1900,2019,2019,6.694915249960687e-7,2019,6.694915249960687e-7,71,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
neural network,5,human_process_cognition_presence,simulation,cognitive_process,collected,1843,2019,2019,0.0000062456473762101394,2019,0.0000062456473762101394,114,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial consciousness,5,human_process_cognition_presence,speculative_extension,philosophical_life,collected,1859,2019,2018,1.729731094121667e-8,2019,1.4412627098725483e-8,97,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
machine consciousness,5,human_process_cognition_presence,speculative_extension,philosophical_life,collected,1881,2019,2018,1.5306936218539846e-8,2019,1.4077449990435031e-8,89,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial companion,5,human_process_cognition_presence,speculative_extension,social_presence,collected,1874,2019,2016,1.6186711970789247e-9,2019,1.1012970535517752e-9,43,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
AI companion,5,human_process_cognition_presence,speculative_extension,social_presence,collected,2001,2019,2014,1.9128335582152545e-9,2019,7.661196954611427e-10,17,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial agent,5,human_process_cognition_presence,speculative_extension,cognitive_process,collected,1800,2019,2011,2.1339497953409836e-8,2019,1.7285576872638764e-8,175,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
AI agent,5,human_process_cognition_presence,speculative_extension,cognitive_process,collected,1832,2019,2019,1.6040631663216676e-8,2019,1.6040631663216676e-8,42,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial general intelligence,5,human_process_cognition_presence,speculative_extension,cognitive_process,collected,1900,2019,2019,5.514664469519204e-8,2019,5.514664469519204e-8,20,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
artificial creativity,5,human_process_cognition_presence,speculative_extension,cognitive_process,collected,1900,2019,2008,3.6693581506597184e-9,2019,2.442006652447759e-9,48,Ngram first nonzero year is not first attestation; broad terms require contextual sources.
